Name,URL,Country,Genre,Status,Photo_URL
A 12 Gauge Tragedy,https://www.metal-archives.com/bands/A_12_Gauge_Tragedy/3540480258,United States,Deathcore,Split-up,https://www.metal-archives.com/images/3/5/4/0/3540480258_photo.jpg?1117
A // Solution,https://www.metal-archives.com/bands/A_--_Solution/3540442600,United States,Crust Punk/Thrash Metal,Split-up,
A Band of Orcs,https://www.metal-archives.com/bands/A_Band_of_Orcs/108513,United States,Death/Thrash Metal,Active,https://www.metal-archives.com/images/1/0/8/5/108513_photo.jpg?2741
A Band Named Jon,https://www.metal-archives.com/bands/A_Band_Named_Jon/3540535978,United States,Brutal Death Metal/Grindcore,Active,https://www.metal-archives.com/images/3/5/4/0/3540535978_photo.jpg?0204
A Balance of Power,https://www.metal-archives.com/bands/A_Balance_of_Power/3540352307,United States,Melodic Death Metal/Metalcore,Active,https://www.metal-archives.com/images/3/5/4/0/3540352307_photo.jpg?5129
A Bastard's Breath,https://www.metal-archives.com/bands/A_Bastard%27s_Breath/3540502761,United States,Raw Black Metal,Active,
A Baptism by Fire,https://www.metal-archives.com/bands/A_Baptism_by_Fire/3540412046,Canada,Progressive Power Metal,Active,https://www.metal-archives.com/images/3/5/4/0/3540412046_photo.jpg?4141
A Belt Above Black,https://www.metal-archives.com/bands/A_Belt_Above_Black/3540484133,United States,Melodic Death Metal/Metalcore,Active,
A Billion Limbs,https://www.metal-archives.com/bands/A_Billion_Limbs/3540473101,United Kingdom,Groove Metal/Deathcore,Active,
A Binding Spirit,https://www.metal-archives.com/bands/A_Binding_Spirit/3540462261,Germany,Black Metal/Ambient,Active,
A Black Cold Diamond,https://www.metal-archives.com/bands/A_Black_Cold_Diamond/3540525193,Colombia,Heavy/Doom Metal,Active,https://www.metal-archives.com/images/3/5/4/0/3540525193_photo.jpg?2119
A Blackened Sight,https://www.metal-archives.com/bands/A_Blackened_Sight/3540439877,Spain,Metalcore,Active,https://www.metal-archives.com/images/3/5/4/0/3540439877_photo.jpg?1850
A Bloody Chasm,https://www.metal-archives.com/bands/A_Bloody_Chasm/3540501127,United States,Heavy Metal/Grunge,Active,https://www.metal-archives.com/images/3/5/4/0/3540501127_photo.jpg?0740
A Blind Beggar,https://www.metal-archives.com/bands/A_Blind_Beggar/3540484581,Colombia,Metalcore,Active,https://www.metal-archives.com/images/3/5/4/0/3540484581_photo.jpg?2453
A Blind Prophecy,https://www.metal-archives.com/bands/A_Blind_Prophecy/18563,United States,Melodic/Progressive Metal,Split-up,https://www.metal-archives.com/images/1/8/5/6/18563_photo.jpg?3547
A Body Falls,https://www.metal-archives.com/bands/A_Body_Falls/103063,United States,Melodic Death Metal,Split-up,https://www.metal-archives.com/images/1/0/3/0/103063_photo.jpg?3418
A Bloody Epitaph,https://www.metal-archives.com/bands/A_Bloody_Epitaph/111183,United States,Deathcore,Changed name,https://www.metal-archives.com/images/1/1/1/1/111183_photo.jpg
